rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,rs_20d,rs_60d,breakout_flag,created_at
40,6526,達發,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",551.0,0.1875,0.28738317757009346,0.12539294020557323,,,0,2026-05-10T21:50:52
41,6937,天虹,半導體業,72.0,,85.0,38.0,100.0,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 2.3 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",331.0,0.38784067085953877,0.5183486238532109,2.17386072681019,,,0,2026-05-10T21:50:52
42,2059,川湖,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",3910.0,0.23149606299212588,0.12195121951219523,1.2150950061705141,,,0,2026-05-10T21:50:52
43,2449,京元電子,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 2.4 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",302.5,0.15900383141762453,0.10200364298724951,2.987715228709863,,,0,2026-05-10T21:50:52
44,2474,可成,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.3 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",209.0,0.11170212765957444,0.034653465346534684,0.33566079148852007,,,0,2026-05-10T21:50:52
45,2480,敦陽科,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.8 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",143.0,0.03623188405797095,0.010600706713780994,1.4264536986273884,,,0,2026-05-10T21:50:52
46,3006,晶豪科,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S2,early_watch,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",169.5,0.1299999999999999,0.14915254237288145,0.8324773868951246,,,0,2026-05-10T21:50:52
47,6117,迎廣,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.5 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",88.0999984741211,0.27681157208871143,0.11944093888670548,0.6815734237323696,,,0,2026-05-10T21:50:52
48,6743,安普新,電子工業,71.8274,,100.0,28.0,92.7004,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 2.7 倍，屬於有效放量區"", ""站上 20 日與 60 日均線"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",29.700000762939453,0.3288590718577158,0.10204081343781213,1.1660910912373355,,,0,2026-05-10T21:50:52
49,6175,立敦,電子零組件業,70.4137,,100.0,23.0,94.1835,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",62.4,0.3068062827225131,0.1576994434137291,-0.3513458757211884,,,0,2026-05-10T21:50:52
50,6259,百徽,電子零組件業,70.4137,,100.0,23.0,94.1835,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",21.0,0.21739130434782616,0.16666666666666674,-0.310506869549815,,,0,2026-05-10T21:50:52
