period_date,rank,symbol,name,score_total,stage,entry_zone,forward_max_return,forward_close_return,forward_max_drawdown,hit_3x,hit_5x
2022-07-01,7,4426,利勤,61.1239,S2,early_watch,0.27586202108650615,0.03065131131678167,-0.1532567027408892,0,0
2022-07-01,8,8050,廣積,60.3103,S2,early_watch,0.4358552631578947,0.26809210526315796,-0.016447368421052655,0,0
2022-07-01,9,6206,飛捷,60.3103,S2,early_watch,0.09448820451857531,-0.2553431292240048,-0.3115860549774675,0,0
2022-07-01,10,2534,宏盛,59.736,S2,early_watch,0.011695951223034351,-0.13645224374473297,-0.13645224374473297,0,0
2022-07-01,11,1760,寶齡富錦,59.1695,S2,early_watch,0.5573770491803278,0.42622950819672134,-0.11065573770491799,0,0
2022-07-01,12,1783,和康生,59.1695,S2,early_watch,0.32407408729502274,0.24768517999124118,-0.20138888180623782,0,0
2022-07-01,13,6109,亞元,58.9251,S2,early_watch,0.5491803278688525,0.3196721311475412,-0.07377049180327855,0,0
2022-07-01,14,6143,振曜,58.9251,S2,early_watch,0.3680430879712746,0.1472172351885097,-0.21903052064631956,0,0
2022-07-01,15,3047,訊舟,58.9251,S2,early_watch,0.6066946501583379,0.26778241509126177,-0.033472771959388914,0,0
2022-07-01,16,3045,台灣大,58.7785,S2,early_watch,0.004587155963302836,-0.13577984451153957,-0.1651376146788991,0,0
2022-07-01,17,4904,遠傳,58.7785,S2,early_watch,0.02456138566223509,-0.23157898306149494,-0.23742693627786915,0,0
2022-07-01,18,1216,統一,58.03,S2,early_watch,0.03976431351350018,-0.02503688570594198,-0.060382948404731795,0,0
2022-07-01,19,2723,美食-KY,57.3779,S2,early_watch,0.4193548387096775,0.4193548387096775,-0.1133640834263393,0,0
2022-07-01,20,1733,五鼎,57.3513,S2,early_watch,0.08918407390697158,-0.026565493465105172,-0.12333965665843094,0,0
2022-08-01,1,3071,協禧,70.0,S2,early_watch,0.04570383912248621,-0.07129798903107876,-0.15173674588665453,0,0
2022-08-01,2,3207,耀勝,70.0,S2,early_watch,0.5999999999999999,0.5710526315789475,-0.09605263157894728,0,0
2022-08-01,3,4543,萬在,70.0,S2,early_watch,0.10769230769230775,-0.15555555555555556,-0.28547008547008557,0,0
2022-08-01,4,5263,智崴,70.0,S2,early_watch,0.185483870967742,0.13306451612903225,-0.157258064516129,0,0
2022-08-01,5,6122,擎邦,70.0,S2,early_watch,0.03608247422680422,-0.05412371134020599,-0.31443298969072153,0,0
2022-08-01,6,6156,松上,70.0,S2,early_watch,0.06913580246913575,-0.022222222222222143,-0.24197530864197536,0,0
2022-08-01,7,6160,欣技,70.0,S2,early_watch,-0.04878048780487809,-0.1121951219512195,-0.35121951219512193,0,0
2022-08-01,8,8050,廣積,70.0,S2,early_watch,0.2435897435897434,0.12108262108262102,-0.13390313390313402,0,0
2022-08-01,9,8941,關中,70.0,S2,early_watch,0.0824915824915824,-0.06060606060606066,-0.21043771043771042,0,0
2022-08-01,10,1513,中興電,70.0,S2,early_watch,0.370558411020409,0.3401015058049883,-0.17005075290249416,0,0
2022-08-01,11,1524,耿鼎,70.0,S2,early_watch,0.1351351371254812,0.0019305461446186278,-0.20463317819003513,0,0
2022-08-01,12,2421,建準,70.0,S2,early_watch,0.1815951294694209,0.06134969325153383,-0.11533744203532403,0,0
2022-08-01,13,2476,鉅祥,70.0,S2,early_watch,0.14011519183741616,-0.07101725657666125,-0.21209210907203058,0,0
2022-08-01,14,2485,兆赫,70.0,S2,early_watch,0.11614737613121173,0.025495794485287604,-0.08215291144077441,0,0
2022-08-01,15,3038,全台,70.0,S2,early_watch,0.0451467276398243,-0.058690711487552005,-0.13092549293338085,0,0
2022-08-01,16,4915,致伸,70.0,S2,early_watch,-0.002816858425946256,-0.176056338028169,-0.2535211267605634,0,0
2022-08-01,17,8114,振樺電,70.0,S2,early_watch,0.17586206896551726,-0.17586206896551726,-0.26206896551724135,0,0
2022-08-01,18,8210,勤誠,70.0,S2,early_watch,0.25106378649988925,0.22836877268256872,-0.12056737588652477,0,0
2022-08-01,19,6266,泰詠,69.4136,S2,early_watch,0.15384615384615397,0.0344129554655872,-0.10931174089068818,0,0
2022-08-01,20,3023,信邦,69.4136,S2,early_watch,0.1261425959780622,0.1261425959780622,-0.11334552102376605,0,0
2022-09-01,1,1784,訊聯,70.0,S2,early_watch,0.10751445086705202,0.015028901734104094,-0.18497109826589597,0,0
2022-09-01,2,2752,豆府,70.0,S2,early_watch,0.4421052631578948,0.3789473684210527,-0.06842105263157894,0,0
2022-09-01,3,3362,先進光,70.0,S2,early_watch,0.33333333333333326,0.24137931034482762,-0.4011494252873563,0,0
2022-09-01,4,3693,營邦,70.0,S2,early_watch,0.8571428571428572,0.5034013605442176,-0.23809523809523814,0,0
2022-09-01,5,4114,健喬,70.0,S2,early_watch,0.37662337662337664,0.17922077922077917,-0.18961038961038967,0,0
2022-09-01,6,4123,晟德,70.0,S2,early_watch,0.0031948881789136685,-0.2675718849840255,-0.31469648562300323,0,0
2022-09-01,7,4130,健亞,70.0,S2,early_watch,0.41516245487364634,-0.018050541516245522,-0.23465703971119134,0,0
2022-09-01,8,4167,松瑞藥,70.0,S2,early_watch,0.4609375,0.007812500000000222,-0.1796875,0,0
2022-09-01,9,4726,永昕,70.0,S2,early_watch,-0.0439453125,-0.248046875,-0.3574218750000001,0,0
2022-09-01,10,6712,長聖,70.0,S2,early_watch,0.05954825462012314,-0.19301848049281312,-0.29774127310061604,0,0
2022-09-01,11,8076,伍豐,70.0,S2,early_watch,-0.0028368794326241176,-0.18865248226950349,-0.30354609929078014,0,0
2022-09-01,12,8403,盛弘,70.0,S2,early_watch,0.06666666666666665,-0.11599999999999999,-0.2293333333333334,0,0
2022-09-01,13,8933,愛地雅,70.0,S2,early_watch,0.3671232876712329,-0.26575342465753427,-0.26575342465753427,0,0
2022-09-01,14,2362,藍天,70.0,S2,early_watch,0.018518562795897253,-0.12962961352876468,-0.13390310711996434,0,0
2022-09-01,15,2380,虹光,70.0,S2,early_watch,-0.021428560028661114,-0.23964250991645974,-0.2505567047050612,0,0
2022-09-01,16,2474,可成,70.0,S2,early_watch,0.04087193460490468,0.013623978201634968,-0.114441416893733,0,0
2022-09-01,17,3504,揚明光,70.0,S2,early_watch,0.03167420814479649,-0.22171945701357465,-0.3674208006707791,0,0
2022-09-01,18,3617,碩天,70.0,S2,early_watch,0.24056611117115057,0.0330188943041998,-0.19245278313304914,0,0
2022-09-01,19,4106,雃博,70.0,S2,early_watch,0.20462626386450689,0.01957292632007368,-0.18149467303327416,0,0
2022-09-01,20,4119,旭富,70.0,S2,early_watch,0.3710618953971827,0.3710618953971827,-0.010501747917560422,0,0
2022-10-03,1,5704,老爺知,70.0,S2,early_watch,0.7198177676537585,0.3006833712984056,-0.1412300683371297,0,0
