entry_zone,forward_close_return,forward_max_drawdown,forward_max_return,forward_min_return_from_entry,forward_path_max_drawdown,hit_3x,hit_5x,name,period_date,rank,score_total,stage,strategy_name,symbol,trade_date
early_watch,-0.23684210526315785,-0.26766917293233083,0.2593984962406015,-0.26766917293233083,-0.41850746268656713,0,0,寶島科,2025-04-01,7,17.0,S2,volume_expansion_only,5312,2025-04-01
early_watch,-0.0797448165869219,-0.2599681020733653,0.11004784688995195,-0.2599681020733653,-0.26582278481012667,0,0,利機,2025-04-01,8,14.0,S2,volume_expansion_only,3444,2025-04-01
early_watch,-0.3142857142857143,-0.3301587301587302,0.025396825396825307,-0.3301587301587302,-0.34674922600619196,0,0,先進光,2025-04-01,9,14.0,S2,volume_expansion_only,3362,2025-04-01
early_watch,0.08031094329956301,-0.26165800190102384,0.13989641811771758,-0.26165800190102384,-0.2673522138285811,0,0,永光,2025-04-01,10,1.0,S2,volume_expansion_only,1711,2025-04-01
early_watch,-0.04481792717086841,-0.18487394957983194,0.03081232492997188,-0.18487394957983194,-0.18487394957983194,0,0,長科*,2025-04-01,11,25.6,S2,volume_expansion_only,6548,2025-04-01
early_watch,-0.006622541651882585,-0.2682119263854392,0.13576153544845249,-0.2682119263854392,-0.2682119263854392,0,0,今皓,2025-04-01,12,14.0,S2,volume_expansion_only,3011,2025-04-01
early_watch,0.09722222222222232,-0.0805555555555556,0.1499999999999999,-0.0805555555555556,-0.14249999999999996,0,0,八方雲集,2025-04-01,13,36.6,S2,volume_expansion_only,2753,2025-04-01
early_watch,0.012207527975584886,-0.2400813835198372,0.06307222787385558,-0.2400813835198372,-0.2400813835198372,0,0,世界,2025-04-01,14,23.6,S2,volume_expansion_only,5347,2025-04-01
early_watch,0.024134263889940666,-0.27282265653107374,0.2434417230358552,-0.27282265653107374,-0.27282265653107374,0,0,羅昇,2025-04-01,15,14.0,S2,volume_expansion_only,8374,2025-04-01
early_watch,0.04810996563573888,-0.18900343642611683,0.35395189003436434,-0.18900343642611683,-0.2842639593908629,0,0,錼創科技-KY創,2025-04-01,16,1.0,S2,volume_expansion_only,6854,2025-04-01
early_watch,-0.06862745098039214,-0.2705882352941176,0.021568627450980316,-0.2705882352941176,-0.2705882352941176,0,0,聯上,2025-04-01,17,14.0,S2,volume_expansion_only,4113,2025-04-01
early_watch,-0.10399032648125761,-0.32043530834340994,0.08222490931076165,-0.32043530834340994,-0.32043530834340994,0,0,信立,2025-04-01,18,11.6,S2,volume_expansion_only,4303,2025-04-01
early_watch,0.28846153846153855,-0.28076923076923077,0.5769230769230769,-0.28076923076923077,-0.28076923076923077,0,0,邑錡,2025-04-01,19,27.6,S2,volume_expansion_only,7402,2025-04-01
early_watch,0.18666666666666676,-0.2433333333333333,0.33666666666666667,-0.2433333333333333,-0.26774193548387093,0,0,士電,2025-04-01,20,14.0,S2,volume_expansion_only,1503,2025-04-01
early_watch,-0.06851851851851853,-0.24814814814814812,0.014814814814814836,-0.24814814814814812,-0.25912408759124084,0,0,久裕,2025-04-01,1,36.6,S2,ma_alignment_only,4173,2025-04-01
early_watch,0.09722222222222232,-0.0805555555555556,0.1499999999999999,-0.0805555555555556,-0.14249999999999996,0,0,八方雲集,2025-04-01,2,36.6,S2,ma_alignment_only,2753,2025-04-01
early_watch,-0.10820894407041592,-0.16324627330399333,0.24626874913083974,-0.16324627330399333,-0.32859286788698905,0,0,寶一,2025-04-01,3,33.6,S2,ma_alignment_only,8222,2025-04-01
early_watch,-0.16992481203007515,-0.2165413533834586,0.00601503759398514,-0.2165413533834586,-0.22122571001494773,0,0,頎邦,2025-04-01,4,27.6,S2,ma_alignment_only,6147,2025-04-01
early_watch,-0.06077348066298349,-0.2237569060773481,-0.005524861878453136,-0.2237569060773481,-0.2237569060773481,0,0,幃翔,2025-04-01,5,27.6,S2,ma_alignment_only,6185,2025-04-01
early_watch,0.28846153846153855,-0.28076923076923077,0.5769230769230769,-0.28076923076923077,-0.28076923076923077,0,0,邑錡,2025-04-01,6,27.6,S2,ma_alignment_only,7402,2025-04-01
early_watch,-0.18518518518518523,-0.25828460038986356,-0.01754385964912275,-0.25828460038986356,-0.25828460038986356,0,0,千附,2025-04-01,7,27.6,S2,ma_alignment_only,8383,2025-04-01
early_watch,0.04087595695996815,-0.22627737226277367,0.07299270072992692,-0.22627737226277367,-0.23188405797101452,0,0,五鼎,2025-04-01,8,27.6,S2,ma_alignment_only,1733,2025-04-01
early_watch,-0.15473441108545039,-0.35796766743648956,-0.002309468822170868,-0.35796766743648956,-0.35796766743648956,0,0,喬山,2025-04-01,9,27.6,S2,ma_alignment_only,1736,2025-04-01
early_watch,-0.028301903767787184,-0.19811323640523815,0.04245281066704476,-0.19811323640523815,-0.19999999999999996,0,0,春源,2025-04-01,10,27.6,S2,ma_alignment_only,2010,2025-04-01
early_watch,-0.29094415886074765,-0.29576111440313513,0.013487416717957945,-0.29576111440313513,-0.3051330741949937,0,0,正新,2025-04-01,11,27.6,S2,ma_alignment_only,2105,2025-04-01
early_watch,0.3807106451543567,-0.25126906452976505,0.8451775160590036,-0.25126906452976505,-0.27235208051603677,0,0,亞航,2025-04-01,12,27.6,S2,ma_alignment_only,2630,2025-04-01
early_watch,0.03531601399299045,-0.2555762118027728,0.24907059295924583,-0.2555762118027728,-0.2555762118027728,0,0,漢翔,2025-04-01,13,27.6,S2,ma_alignment_only,2634,2025-04-01
early_watch,0.05603445960659914,-0.1436782235402464,0.07758613942494574,-0.1436782235402464,-0.18467858133843462,0,0,台產,2025-04-01,14,27.6,S2,ma_alignment_only,2832,2025-04-01
early_watch,-0.2296650933119353,-0.25837321476581077,0.004784676768901486,-0.25837321476581077,-0.26190476190476186,0,0,瑞智,2025-04-01,15,27.6,S2,ma_alignment_only,4532,2025-04-01
early_watch,-0.016591251885369585,-0.05882352941176472,0.11764705882352944,-0.05882352941176472,-0.1552631414210105,0,0,駐龍,2025-04-01,16,27.6,S2,ma_alignment_only,4572,2025-04-01
early_watch,-0.25155280091770715,-0.2748447258316721,-0.0015527713004930277,-0.2748447258316721,-0.2748447258316721,0,0,建國,2025-04-01,17,27.6,S2,ma_alignment_only,5515,2025-04-01
early_watch,-0.2941988950276243,-0.2983425414364641,0.03176795580110503,-0.2983425414364641,-0.31994645247657294,0,0,復盛應用,2025-04-01,18,27.6,S2,ma_alignment_only,6670,2025-04-01
early_watch,-0.2683760814177685,-0.2863247863247863,0.06837606837606836,-0.2863247863247863,-0.33199999999999996,0,0,來頡,2025-04-01,19,27.6,S2,ma_alignment_only,6799,2025-04-01
early_watch,-0.18300653594771243,-0.30065359477124187,-0.03594771241830064,-0.30065359477124187,-0.30065359477124187,0,0,千附精密,2025-04-01,20,27.6,S2,ma_alignment_only,6829,2025-04-01
early_watch,-0.24757281553398058,-0.25728155339805825,0.2621359223300972,-0.25728155339805825,-0.4115384615384615,0,0,宇峻,2025-05-02,1,36.6,S2,radar_model,3546,2025-05-02
early_watch,-0.10082079759129059,-0.18467858133843462,0.02599172890154655,-0.18467858133843462,-0.18467858133843462,0,0,台產,2025-05-02,2,36.6,S2,radar_model,2832,2025-05-02
early_watch,-0.21074380165289253,-0.2272727272727273,0.1425619834710743,-0.2272727272727273,-0.3236889692585895,0,0,大塚,2025-05-02,3,33.6,S2,radar_model,3570,2025-05-02
early_watch,-0.23274695534506096,-0.24898511502029774,0.1826792963464141,-0.24898511502029774,-0.36498855835240274,0,0,泰谷,2025-05-02,4,33.2,S2,radar_model,3339,2025-05-02
early_watch,-0.14031967705572035,-0.1518649973876438,0.03907639063503332,-0.1518649973876438,-0.18376068376068377,0,0,台肥,2025-05-02,5,33.2,S2,radar_model,1722,2025-05-02
early_watch,0.21299638989169667,-0.09747292418772568,0.22382671480144412,-0.09747292418772568,-0.09747292418772568,0,0,柏文,2025-05-02,6,32.6,S2,radar_model,8462,2025-05-02
early_watch,-0.20525783619817994,-0.21435793731041453,-0.005055611729019249,-0.21435793731041453,-0.21435793731041453,0,0,雙美,2025-05-02,7,27.6,S2,radar_model,4728,2025-05-02
early_watch,-0.3760683760683762,-0.41595441595441596,0.329059829059829,-0.41595441595441596,-0.5605573419078242,0,0,弘煜科,2025-05-02,8,27.6,S2,radar_model,6482,2025-05-02
early_watch,-0.06934305273658936,-0.08394157916356637,0.14416061379315193,-0.08394157916356637,-0.19936203904144867,0,0,浪凡,2025-05-02,9,27.6,S2,radar_model,6165,2025-05-02
early_watch,0.5148188803512626,-0.16355653128430292,0.8770581778265643,-0.16355653128430292,-0.2865497076023392,0,0,新盛力,2025-05-02,10,25.6,S2,radar_model,4931,2025-05-02
early_watch,-0.20425138632162665,-0.3179297597042514,0.12754158964879858,-0.3179297597042514,-0.3950819672131147,0,0,凱衛,2025-05-02,11,25.6,S2,radar_model,5201,2025-05-02
early_watch,-0.2697160883280757,-0.29495268138801256,0.028391167192429068,-0.29495268138801256,-0.3144171779141104,0,0,佶優,2025-05-02,12,25.6,S2,radar_model,5452,2025-05-02
early_watch,-0.13398692810457513,-0.1405228758169934,0.03921568627450989,-0.1405228758169934,-0.17295597484276726,0,0,普萊德,2025-05-02,13,25.6,S2,radar_model,6263,2025-05-02
early_watch,1.1419270833333335,-0.04036458333333337,1.5065104166666665,-0.04036458333333337,-0.1636363636363637,0,0,精測,2025-05-02,14,25.6,S2,radar_model,6510,2025-05-02
early_watch,0.31188118811881194,-0.0643564356435643,0.4900990099009901,-0.0643564356435643,-0.1611295681063123,0,0,信紘科,2025-05-02,15,25.6,S2,radar_model,6667,2025-05-02
early_watch,-0.1114285605294364,-0.13999998910086497,0.08571428571428563,-0.13999998910086497,-0.20789472680342824,0,0,佳格,2025-05-02,16,25.6,S2,radar_model,1227,2025-05-02
early_watch,-0.1629629488344546,-0.1814814673529731,0.03333331920482485,-0.1814814673529731,-0.20788528015636154,0,0,國化,2025-05-02,17,25.6,S2,radar_model,1713,2025-05-02
early_watch,0.057057025637438086,0.017016986208972185,0.45345340070518825,0.017016986208972185,-0.2975206463925837,0,0,士紙,2025-05-02,18,25.6,S2,radar_model,1903,2025-05-02
early_watch,1.4058919803600656,0.0016366612111293755,1.4058919803600656,0.0016366612111293755,-0.1784386617100372,0,0,台光電,2025-05-02,19,25.6,S2,radar_model,2383,2025-05-02
early_watch,-0.20889483588678137,-0.2129379524555033,0.06603775912951693,-0.2129379524555033,-0.2616940246214359,0,0,承啟,2025-05-02,20,25.6,S2,radar_model,2425,2025-05-02
early_watch,-0.1540697938755038,-0.1540697938755038,0.10465111379174896,-0.1540697938755038,-0.23421051627711242,0,0,新唐,2025-05-02,1,14.6,S2,random_top_n,4919,2025-05-02
early_watch,-0.11627906976744184,-0.17758985200845667,0.02748414376321362,-0.17758985200845667,-0.19958847736625518,0,0,矽瑪,2025-05-02,2,19.6,S2,random_top_n,3511,2025-05-02
early_watch,-0.0669710489430908,-0.0974124506615045,0.02587526113549088,-0.0974124506615045,-0.12017807278102632,0,0,東和鋼鐵,2025-05-02,3,14.6,S2,random_top_n,2006,2025-05-02
